trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,buildProb,runtimeKill,scenario,averageSize
1,25,19,6511,4.5455844060160905E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,57.0
1,26,20,7084,4.542197020754312E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,59.0
1,27,19,7021,4.809871728753641E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,58.0
1,28,19,7073,4.809871728753641E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,57.0
1,29,19,7094,4.809871728753641E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,57.0
1,0,4,66,2.6593032000000007E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,10.0
1,1,4,35,2.6593032000000007E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,10.0
1,2,9,35,2.7719692637500003E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,11.0
1,3,12,87,3.2286046273750003E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,13.0
1,4,8,112,4.0439654400000006E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,13.0
1,5,18,132,4.023779703800002E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,14.0
1,6,12,185,4.043965440000001E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,15.0
1,7,12,246,4.027147680000002E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,17.0
1,8,12,360,4.310556240000002E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,17.0
1,9,12,309,4.310556240000002E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,18.0
1,10,12,475,4.575707040000002E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,19.0
1,11,12,577,4.575707040000002E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,20.0
1,12,12,531,4.575707040000002E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,21.0
1,13,12,919,4.575707040000002E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,22.0
1,14,12,1096,4.575707040000002E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,23.0
1,15,12,1087,4.575707040000002E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,24.0
1,16,18,1461,4.666472317322403E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,25.0
1,17,18,1629,4.666472317322403E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,26.0
1,18,18,1708,4.666472317322403E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,26.0
1,19,18,1888,4.666472317322403E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,27.0
1,20,18,2245,4.666472317322403E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,27.0
1,21,18,2676,4.732141799841603E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,27.0
1,22,18,3498,4.732141799841603E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,28.0
1,23,20,4360,4.746387069340326E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,29.0
1,24,20,5649,4.746387069340326E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,29.0
1,25,20,6292,4.746387069340326E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,27.0
1,26,17,6487,4.768243773168003E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,28.0
1,27,17,7498,4.768243773168003E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,28.0
1,28,19,8798,4.828942179408002E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,28.0
1,29,19,9223,4.828942179408002E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,28.0
1,0,7,68,2.6465453400000002E7,-1.0,-1.0,long,trimmer,0.75,0.5,requestsfourserv,10.0
1,1,7,26,2.6465453400000002E7,-1.0,-1.0,long,trimmer,0.75,0.5,requestsfourserv,9.0
